county,confirmed,deaths,state,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,percent_uninsured,percent_some_college,percent_unemployed,percent_children_in_poverty,percent_single_parent_households,percent_severe_housing_problems,overcrowding,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,percent_uninsured_2,median_household_income,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,population_2,percent_less_than_18_years_of_age,percent_65_and_over,percent_black,percent_asian,percent_hispanic,percent_female,percent_rural
Douglas,194,2,Colorado,8.1206450181,10.723985989000001,19.6,93.392184681,20.955009656,3.7801851723,88.21398199,2.8613260824,2.5,14.909168482,10.564399421,0.9823268868,4.9,7.3,24.896147522,4.4641449772,120670,194.02876775,79.007204537,342776,25.958060074,11.942201321,1.3594884123,5.188811352,8.9746656709,50.076143021,10.287425779
Douglas,80,4,Georgia,17.940186285,16.639961064,31.3,79.520101508,15.303073613,14.167003015,63.350009264,4.1179698217,20.9,35.904355805,16.303776165,1.9564531398,10.5,14.9,38.9486357,17.332321835,60512,206.51098983,64.382862277,145331,25.875415431,11.541928425,46.954194219,1.7147064288,9.9964907693,52.498090566,15.757195834
Douglas,9,0,Illinois,15.062310608,15.715028593,30.9,70.840840841,20.249370529,9.2782867046,54.121338912,4.1030160595,13.3,24.867075665,10.978835979,1.8518518519,8.7,9.4,30.721024761,11.34991119,56976,46.191698207,71.685481754,19479,24.888341291,18.091277786,0.4774372401,0.6930540582,7.2128959392,50.613481185,61.636636637
Douglas,32,0,Kansas,14.525275596,16.619031283,27.9,91.038204032,24.009571327,9.2440456341,83.678739957,3.0598628813,12.4,25.321712147,19.950237503,1.6851391088,6.5,15.9,28.337959375,10.77698501,57120,215.16247043,51.844731499,121436,18.189828387,12.314305478,4.3833788992,4.9911064264,6.3737277249,50.163048849,11.012758739
Douglas,131,1,Nebraska,14.528618852,15.893613543,30.1,98.374233722,21.967594426,9.9827811288,72.804265802,3.0599850981,13.3,32.302488352,15.521737069,2.3206751055,8.8,13.2,30.54084008,12.257673965,64580,309.62297626,61.474509586,566880,25.622706746,13.010160881,11.042548688,4.1925980807,12.828288174,50.628351679,2.1705246466
Douglas,7,0,Nevada,15.270304995,14.153922189,25,91.16326574,18.332346973,12.313432836,64.634408602,4.3396556245,11.8,27.536056236,15.780230808,1.6557952835,8.9,11,30.286611938,13.278657968,70495,238.75437338,69.857621848,48467,16.334825758,28.489487693,0.8665690057,1.8218581715,13.006788124,49.747250707,31.553077856
Douglas,9,0,Oregon,15.127604469,15.478514803,31.4,65.343141353,16.817838279,7.7435884679,57.959504276,5.4017337301,21.3,34.882468168,17.776260385,2.6061226812,14.1,14.2,31.904880965,9.2212056064,47020,164.61814257,68.302758406,110283,19.345683378,25.728353418,0.4597263404,1.1071516009,6.0308479095,50.705004398,41.17789109
Douglas,9,0,Washington,18.061982065,13.556586254,32.4,77.135645703,19.039677095,11.314519667,50.837706904,5.3279637087,15.2,36.213457077,17.909407666,7.1777003484,8.1,9.2,30.60951285,14.923609353,65912,206.86470118,69.735793946,42907,25.786002284,17.56822896,0.4661244086,1.1233598247,32.101988021,49.332276785,26.595716999
Douglas,7,0,Wisconsin,12.941404851,17.813739463,31.1,69.473946421,25.831260343,6.5935028166,71.384122195,3.9802702123000002,14.3,34.050470985,12.86407767,1.7529665588,7.9,11.6,31.834567153,7.5903240813,50637,202.07112581,66.902748414,43208,19.688483614,18.605350861,1.1687650435,1.1664506573,1.5737826328,49.946769117,38.755406599
DuPage,590,18,Illinois,12.902530389,12.257496254,26.9,99.626359437,19.848500634,6.3975946593,78.397037174,3.1306399292,7.9,19.499239499,15.873858725,2.3865362774,8.7,6.7,29.9222743,7.6540715508,93540,509.66947724,73.176761072,928589,22.6744017,15.500722063,4.9307066959,12.618499681,14.455372614,50.870514296,0.0475502877
Dubuque,24,1,Iowa,11.621486435,16.403689039,33.5,84.670005232,23.997575682,4.3499675956,73.673316598,2.4142864905,12.1,29.352895893,12.182607552,0.8946191291,7.1,11.2,27.96727371,5.30275562,60367,1262.5026743,72.361074876,96854,22.752803188,17.974477048,3.3999628307,1.3577136721,2.5171908233,50.58231978,27.016753334
Nantucket,16,0,Massachusetts,12.574023513,13.948758427,24.9,95.418796697,22.140172908,4.4342187827,78.456396232,4.4113739038,5.6,32.127288579,20.469361147,3.9113428944,7.6,8.9,32.269417839,5.1402514854,97525,0,69.210102096,11327,21.170654189,14.831817781,9.481769224,1.6862364262,15.308554781,49.068597157,18.895005899
Dunklin,7,0,Missouri,30.353989914,25.767353247,41.1,68.200168998,14.858539568,13.195110759,48.944960897,5.5032226078,38.1,43.468118196,15.417981073,2.3186119874,18.2,18.9,34.710230622,16.812662357,37331,58.542078336,62.895308602,29423,25.578628964,18.720048941,10.175712878,0.6185637087,6.9673384767,52.163273629,50.455356305
Dunn,5,0,Wisconsin,14.070600777,16.230806759,41.6,63.654604738,27.616339526,5.9741750359,69.721967614,3.0512495399,11.8,26.600251918,15.354211006,1.6418364244,9.3,10.2,30.805991955,6.8098440844,57506,157.15971336,67.362349863,45131,19.658327979,15.681017482,0.7954620992,2.8982295983,1.941016153,49.810551506,59.313222519
Duplin,5,0,North Carolina,26.352486893,21.303396198,39.8,29.489787198,13.816432876,19.565080233,44.356005789,4.329351399,30.7,44.096778771,18.029398254,4.9150206706,20.6,15.8,35.487469821,24.498229044,42725,20.570533795,70.024333134,58856,23.722305287,18.699877668,24.211635177,0.7628788909,22.690974582,51.298083458,86.464404752
Durham,182,1,North Carolina,16.679165742,14.789372254,24.7,89.588059211,17.297071998,13.419437645,74.068874975,3.4813789482,19.3,44.655198894,17.277553084,2.6331311089,6.6,16.5,33.623653789,16.175304917,59329,394.89288729,53.772560837,316739,20.78177932,13.092798803,35.968731353,5.4928505804,13.710973388,52.256905528,5.6277023921
Dutchess,938,5,New York,14.696919039,15.040865509,26.9,85.725810789,21.122736385,5.3434453996,68.249981532,3.6857170648,11,25.562793028,20.631136045,3.5577372604,9.2,8.6,34.954942841,6.2135933408,79604,726.54217783,68.757394245,293718,18.776173064,17.57910649,10.451521527,3.7920726683,12.484764298,50.198149245,25.399343839
Duval,387,9,Florida,19.448976994,19.790158358,31.4,92.078568676,18.69862844,13.234188986,65.807730056,3.573478407,21.8,42.325417885,18.389611149,2.1014609321,11.9,17.7,37.034767889,15.736024073,55733,421.52154203,56.686052254,950181,22.593169091,14.04816556,29.46543869,5.0642982758,10.136595028,51.542495588,2.9114980047
